"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"Resort Hotel",1,319,2016,"December",53,31,0,1,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240",NULL,0,"Transient","382",0,0,"Canceled","2016-02-22"
"Resort Hotel",1,41,2017,"August",32,7,1,2,2,2,0,"HB","FRA","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","378",0,0,"Canceled","2017-06-28"
"Resort Hotel",1,119,2017,"August",34,21,1,4,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","378",0,0,"Canceled","2017-08-10"
"Resort Hotel",1,93,2017,"August",31,4,2,2,2,2,0,"HB","GBR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","378",0,0,"Canceled","2017-05-04"
"Resort Hotel",1,69,2017,"August",33,17,1,3,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","378",0,0,"Canceled","2017-06-26"
"Resort Hotel",1,45,2017,"August",31,5,2,4,2,2,0,"HB","MAR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","378",0,0,"Canceled","2017-06-23"
"Resort Hotel",0,69,2017,"August",31,1,0,4,3,1,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","378",0,2,"Check-Out","2017-08-05"
"Resort Hotel",0,91,2017,"July",29,20,1,3,3,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","377",1,0,"Check-Out","2017-07-24"
"City Hotel",0,21,2016,"December",53,30,0,2,3,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9",NULL,0,"Transient","375.5",0,0,"Check-Out","2017-01-01"
"Resort Hotel",0,121,2017,"August",32,9,2,5,3,0,0,"HB","BEL","Online TA","TA/TO",0,0,0,"H","H",1,"No Deposit","240",NULL,0,"Transient","372.71",0,1,"Check-Out","2017-08-16"
"City Hotel",0,14,2017,"August",33,18,1,2,3,2,0,"HB","ESP","Direct","Direct",0,0,0,"G","G",1,"No Deposit","14",NULL,0,"Transient","372.33",0,1,"Check-Out","2017-08-21"
"Resort Hotel",0,5,2017,"August",32,6,1,0,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","372",1,1,"Check-Out","2017-08-07"
"Resort Hotel",1,13,2016,"August",33,8,1,3,3,1,0,"HB","ESP","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","369",0,0,"Canceled","2016-07-27"
"Resort Hotel",0,128,2017,"August",31,3,2,8,3,0,0,"HB","PRT","Direct","Direct",0,0,0,"F","F",1,"No Deposit","250",NULL,0,"Transient","368.1",1,1,"Check-Out","2017-08-13"
"Resort Hotel",0,45,2016,"December",53,30,0,2,3,1,0,"HB","PRT","Groups","Direct",0,0,0,"C","C",1,"No Deposit",NULL,NULL,1,"Transient-Party","367",1,1,"Check-Out","2017-01-01"
"Resort Hotel",0,38,2017,"August",33,13,2,0,2,0,0,"Undefined","PRT","Direct","Direct",0,0,0,"F","G",0,"No Deposit","250",NULL,0,"Transient","367",1,0,"Check-Out","2017-08-15"
"City Hotel",0,173,2016,"July",31,25,1,2,2,1,0,"HB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit","28",NULL,0,"Transient-Party","365",0,1,"Check-Out","2016-07-28"
"Resort Hotel",1,23,2017,"July",30,29,2,3,3,1,0,"HB","LUX","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","363",0,0,"Canceled","2017-07-09"
"Resort Hotel",1,20,2017,"July",30,29,2,3,3,1,0,"HB","LUX","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","363",0,0,"Canceled","2017-07-09"
"Resort Hotel",0,122,2017,"July",30,23,2,5,2,2,0,"BB","BEL","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","360",0,1,"Check-Out","2017-07-30"
"Resort Hotel",0,9,2017,"July",29,21,2,2,2,2,0,"HB","CN","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","359.5",1,0,"Check-Out","2017-07-25"
"Resort Hotel",0,6,2016,"August",33,13,1,1,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","359",0,2,"Check-Out","2016-08-15"
"Resort Hotel",0,31,2016,"August",33,7,1,0,2,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","359",0,0,"Check-Out","2016-08-08"
"Resort Hotel",1,51,2017,"August",31,4,2,2,2,2,0,"FB","PRT","Direct","Direct",0,0,0,"C","C",1,"No Deposit","250",NULL,0,"Transient","358.75",0,0,"Canceled","2017-06-22"
"Resort Hotel",0,158,2016,"August",35,22,1,3,4,0,0,"HB","PRT","Direct","Direct",0,0,0,"H","H",1,"No Deposit","250",NULL,0,"Transient","357",1,0,"Check-Out","2016-08-26"
"Resort Hotel",0,18,2016,"August",33,10,0,2,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","357",0,0,"Check-Out","2016-08-12"
"Resort Hotel",0,37,2017,"July",29,22,2,4,2,1,0,"HB","AND","Direct","Direct",0,0,0,"G","G",0,"No Deposit","250",NULL,0,"Transient","354",1,0,"Check-Out","2017-07-28"
"Resort Hotel",0,14,2016,"August",32,5,1,2,2,2,0,"HB","SVN","Online TA","TA/TO",0,0,0,"G","G",2,"No Deposit","240",NULL,0,"Transient","353.67",1,0,"Check-Out","2016-08-08"
"Resort Hotel",1,28,2017,"July",29,22,2,4,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","353",0,0,"Canceled","2017-07-10"
"City Hotel",1,31,2017,"August",32,11,0,1,2,3,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","352.5",0,1,"Canceled","2017-07-12"
"Resort Hotel",0,25,2016,"August",34,16,0,4,3,1,0,"HB","BEL","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","352",0,1,"Check-Out","2016-08-20"
"Resort Hotel",0,16,2016,"August",32,5,0,2,3,1,0,"HB","NLD","Online TA","TA/TO",0,0,0,"H","H",1,"No Deposit","240",NULL,0,"Transient-Party","352",0,0,"Check-Out","2016-08-07"
"Resort Hotel",0,35,2016,"August",34,18,2,3,3,1,0,"HB","ESP","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","352",0,1,"Check-Out","2016-08-23"
"Resort Hotel",0,81,2017,"August",35,27,2,2,2,2,0,"Undefined","PRT","Direct","Direct",0,0,0,"C","C",0,"No Deposit",NULL,NULL,0,"Transient","351",1,2,"Check-Out","2017-08-31"
"Resort Hotel",0,26,2017,"August",34,24,2,4,3,0,0,"Undefined","PRT","Direct","Direct",0,0,0,"D","D",1,"No Deposit","250",NULL,0,"Transient","350.75",0,1,"Check-Out","2017-08-30"
"Resort Hotel",0,4,2017,"August",33,19,2,3,3,0,0,"HB","ESP","Direct","Direct",0,0,0,"F","F",1,"No Deposit","250",NULL,0,"Transient","350.2",0,1,"Check-Out","2017-08-24"
"Resort Hotel",0,4,2017,"August",31,4,1,2,3,0,0,"HB","PRT","Direct","Direct",0,0,0,"E","E",1,"No Deposit","250",NULL,0,"Transient","349.67",1,2,"Check-Out","2017-08-07"
"City Hotel",0,43,2016,"December",53,29,0,3,2,2,0,"HB","BEL","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","349.63",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,97,2017,"August",32,8,2,5,2,0,0,"HB","PRT","Direct","TA/TO",1,0,1,"F","F",2,"No Deposit","250",NULL,0,"Transient","349",0,2,"Check-Out","2017-08-15"
"City Hotel",0,21,2016,"September",37,7,0,4,3,1,0,"HB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","345",1,0,"Check-Out","2016-09-11"
"Resort Hotel",0,6,2017,"August",35,27,2,1,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","344.67",0,2,"Check-Out","2017-08-30"
"Resort Hotel",0,82,2017,"July",30,23,3,5,3,0,0,"HB","GBR","Direct","Direct",0,0,0,"F","F",1,"No Deposit","250",NULL,0,"Transient","344",0,2,"Check-Out","2017-07-31"
"Resort Hotel",0,11,2017,"August",31,5,2,1,3,1,0,"BB","FRA","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","343",1,1,"Check-Out","2017-08-08"
"Resort Hotel",1,360,2017,"August",34,20,2,4,3,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","343",0,0,"Canceled","2016-09-24"
"Resort Hotel",1,42,2017,"July",29,17,2,5,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","342.29",0,0,"Canceled","2017-06-21"
"Resort Hotel",1,29,2017,"August",34,26,2,4,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","342.17",0,0,"Canceled","2017-08-02"
"Resort Hotel",0,7,2017,"July",30,24,1,4,2,2,0,"HB","PRT","Direct","Direct",0,0,0,"G","G",2,"No Deposit",NULL,NULL,0,"Transient","341",0,0,"Check-Out","2017-07-29"
"Resort Hotel",1,27,2017,"August",35,28,1,4,2,2,0,"HB","ESP","Direct","Direct",0,0,0,"G","G",0,"No Deposit","250",NULL,0,"Transient","341",0,0,"Canceled","2017-08-02"
"Resort Hotel",1,47,2017,"August",34,26,2,5,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","340.86",0,0,"Canceled","2017-07-22"
"Resort Hotel",0,11,2016,"July",31,30,2,5,3,0,0,"FB","ESP","Direct","Direct",0,0,0,"D","D",1,"No Deposit","250",NULL,0,"Transient","340.71",0,0,"Check-Out","2016-08-06"
"Resort Hotel",1,108,2017,"August",33,19,2,4,3,1,0,"BB","GBR","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","340",0,1,"Canceled","2017-05-03"
"Resort Hotel",1,47,2017,"August",32,12,2,3,3,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","340",0,0,"Canceled","2017-08-07"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"E","E",0,"No Deposit",NULL,NULL,0,"Transient","340",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"E","E",0,"No Deposit",NULL,NULL,0,"Transient-Party","340",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"E","E",0,"No Deposit",NULL,NULL,0,"Transient-Party","340",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,22,2017,"August",33,19,2,2,3,1,0,"BB","ESP","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","340",0,1,"Check-Out","2017-08-23"
"Resort Hotel",0,128,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"E","E",0,"No Deposit",NULL,NULL,97,"Transient","340",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"E","E",6,"No Deposit",NULL,NULL,0,"Transient-Party","340",0,2,"Check-Out","2017-01-01"
"Resort Hotel",1,31,2016,"December",53,30,0,2,2,0,0,"Undefined","PRT","Groups","Direct",0,0,0,"E","E",0,"No Deposit",NULL,NULL,0,"Transient-Party","340",0,1,"Canceled","2016-12-30"
"Resort Hotel",1,21,2017,"August",34,21,1,3,3,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","340",0,0,"Canceled","2017-08-02"
"Resort Hotel",0,1,2017,"July",31,31,1,4,1,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","242",NULL,0,"Transient","339.4",1,2,"Check-Out","2017-08-05"
"Resort Hotel",1,25,2017,"July",29,17,1,1,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","338",0,1,"Canceled","2017-07-04"
"Resort Hotel",1,168,2017,"August",33,17,1,3,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","338",0,0,"Canceled","2017-05-25"
"City Hotel",0,24,2017,"July",27,2,2,3,2,3,0,"HB","ROU","Direct","Direct",0,0,0,"G","G",1,"No Deposit","14",NULL,0,"Transient","338",0,0,"Check-Out","2017-07-07"
"Resort Hotel",0,44,2017,"August",32,10,2,5,3,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","196",NULL,0,"Transient-Party","337",0,2,"Check-Out","2017-08-17"
"Resort Hotel",0,43,2017,"August",33,15,0,5,2,2,0,"HB","ESP","Direct","Direct",0,0,0,"C","C",5,"No Deposit","250",NULL,0,"Transient","337",1,2,"Check-Out","2017-08-20"
"Resort Hotel",0,5,2017,"August",34,26,2,5,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","336.57",1,2,"Check-Out","2017-09-02"
"Resort Hotel",0,190,2016,"August",32,2,0,5,3,1,0,"HB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient","336.5",1,1,"Check-Out","2016-08-07"
"City Hotel",0,3,2017,"April",16,22,0,1,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","336",1,1,"Check-Out","2017-04-23"
"Resort Hotel",0,2,2016,"August",33,8,1,0,2,0,0,"BB","IRL","Direct","Direct",0,0,0,"G","G",0,"No Deposit","250",NULL,0,"Transient","335",0,0,"Check-Out","2016-08-09"
"Resort Hotel",0,25,2017,"August",34,22,0,3,3,0,0,"BB","PRT","Direct","Direct",0,0,0,"F","F",1,"No Deposit",NULL,NULL,0,"Transient","335",0,2,"Check-Out","2017-08-25"
"Resort Hotel",0,84,2017,"August",32,8,0,5,2,2,0,"Undefined","ESP","Direct","Direct",0,0,0,"C","C",0,"No Deposit",NULL,NULL,0,"Transient","335",0,1,"Check-Out","2017-08-13"
"City Hotel",0,14,2017,"May",21,25,0,3,3,0,0,"BB","ECU","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","335",0,0,"Check-Out","2017-05-28"
"City Hotel",0,35,2017,"May",21,25,0,3,3,2,0,"BB","CHE","Direct","Direct",0,0,0,"G","G",1,"No Deposit","14",NULL,0,"Transient","335",0,0,"Check-Out","2017-05-28"
"Resort Hotel",0,127,2017,"August",33,18,2,5,2,1,0,"HB","PRT","Direct","Direct",0,0,0,"E","E",4,"No Deposit","250",NULL,0,"Transient","334.43",1,4,"Check-Out","2017-08-25"
"City Hotel",0,2,2017,"June",25,20,0,3,2,0,0,"BB","NLD","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","333.67",0,0,"Check-Out","2017-06-23"
"City Hotel",0,28,2016,"June",23,2,0,3,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"F","G",0,"No Deposit","9",NULL,0,"Transient","332.57",0,1,"Check-Out","2016-06-05"
"Resort Hotel",0,87,2017,"August",33,17,2,3,2,2,0,"BB","GBR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","332",0,1,"Check-Out","2017-08-22"
"Resort Hotel",0,52,2015,"December",53,31,0,1,2,0,0,"HB","PRT","Direct","Direct",0,0,0,"E","F",1,"No Deposit",NULL,NULL,0,"Transient","332",1,1,"Check-Out","2016-01-01"
"Resort Hotel",0,64,2017,"August",33,19,2,5,3,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"E","E",1,"No Deposit","240",NULL,0,"Transient","331.43",1,2,"Check-Out","2017-08-26"
"Resort Hotel",1,167,2017,"August",34,25,2,4,2,2,0,"HB","ROU","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","331.33",0,0,"Canceled","2017-03-15"
"Resort Hotel",0,41,2017,"August",33,18,1,2,2,0,0,"HB","PRT","Direct","TA/TO",1,0,4,"F","F",0,"No Deposit","250",NULL,0,"Transient","331",1,2,"Check-Out","2017-08-21"
"Resort Hotel",0,59,2017,"August",31,1,0,4,3,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"E","E",1,"No Deposit","242",NULL,0,"Transient","331",0,2,"Check-Out","2017-08-05"
"Resort Hotel",0,34,2017,"August",34,22,2,5,2,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"E","F",1,"No Deposit","242",NULL,0,"Transient","330.57",0,2,"Check-Out","2017-08-29"
"Resort Hotel",1,8,2017,"August",31,5,0,1,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"Non Refund","240",NULL,0,"Transient","330",0,0,"Canceled","2017-08-01"
"Resort Hotel",0,33,2017,"August",32,9,2,4,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","330",0,1,"Check-Out","2017-08-15"
"Resort Hotel",1,33,2017,"August",33,18,1,2,2,2,0,"BB","GBR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","330",0,0,"Canceled","2017-07-19"
"Resort Hotel",0,177,2017,"August",32,9,2,4,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","329.67",0,1,"Check-Out","2017-08-15"
"Resort Hotel",0,77,2017,"July",29,19,0,3,3,1,0,"BB","ISL","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","329",1,0,"Check-Out","2017-07-22"
"Resort Hotel",0,59,2016,"August",33,12,2,4,2,1,1,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","329",0,1,"Check-Out","2016-08-18"
"Resort Hotel",1,140,2016,"August",34,20,2,2,3,1,0,"HB","FRA","Online TA","TA/TO",0,0,0,"H","H",1,"No Deposit","240",NULL,0,"Transient","329",0,0,"Canceled","2016-07-12"
"Resort Hotel",0,144,2016,"August",33,7,2,4,3,0,1,"HB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient","329",0,2,"Check-Out","2016-08-13"
"City Hotel",1,23,2017,"May",19,10,2,4,2,2,0,"HB","FRA","Online TA","TA/TO",0,0,0,"F","F",2,"No Deposit","9",NULL,0,"Transient","328.67",0,3,"No-Show","2017-05-10"
"Resort Hotel",0,92,2017,"August",34,23,2,4,3,2,0,"BB","USA","Direct","Direct",0,0,0,"H","H",0,"No Deposit","250",NULL,0,"Transient","328.33",0,2,"Check-Out","2017-08-29"
"Resort Hotel",0,95,2017,"August",31,4,2,4,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","328",0,2,"Check-Out","2017-08-10"
"Resort Hotel",1,91,2017,"August",31,4,2,5,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","328",0,1,"Canceled","2017-05-12"
"Resort Hotel",1,72,2017,"August",35,29,1,5,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","328",0,0,"Canceled","2017-06-19"
"Resort Hotel",0,37,2016,"August",33,11,0,2,3,0,0,"HB","FRA","Direct","Direct",0,0,0,"F","F",2,"No Deposit","250",NULL,0,"Transient","327.6",0,0,"Check-Out","2016-08-13"
"Resort Hotel",0,129,2016,"August",32,6,2,5,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","242",NULL,0,"Transient","327.4",0,2,"Check-Out","2016-08-13"
"Resort Hotel",0,27,2017,"August",34,21,2,5,3,0,0,"BB","ESP","Direct","Direct",0,0,0,"F","F",0,"No Deposit","250",NULL,0,"Transient","326.71",1,2,"Check-Out","2017-08-28"
"City Hotel",0,190,2017,"August",32,12,2,3,2,3,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","326.5",0,2,"Check-Out","2017-08-17"
"City Hotel",0,190,2017,"August",32,12,2,3,2,3,0,"BB","NOR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","326.5",0,2,"Check-Out","2017-08-17"
"Resort Hotel",0,78,2016,"December",53,31,2,1,3,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","326.33",1,1,"Check-Out","2017-01-03"
"Resort Hotel",0,27,2017,"August",31,2,0,3,3,0,0,"HB","PRT","Direct","Direct",0,0,0,"E","F",0,"No Deposit",NULL,NULL,0,"Transient","326",1,3,"Check-Out","2017-08-05"
"Resort Hotel",0,128,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"D","D",0,"No Deposit",NULL,NULL,97,"Transient-Party","325",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"D","D",0,"No Deposit",NULL,NULL,0,"Transient-Party","325",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"D","D",0,"No Deposit",NULL,NULL,0,"Transient-Party","325",0,1,"Check-Out","2017-01-01"
"Resort Hotel",0,31,2016,"December",53,30,0,2,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"D","D",0,"No Deposit",NULL,NULL,0,"Transient-Party","325",0,1,"Check-Out","2017-01-01"
"City Hotel",0,14,2017,"April",17,25,0,4,2,2,0,"HB","FRA","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","324.5",1,2,"Check-Out","2017-04-29"
"Resort Hotel",0,22,2017,"July",31,31,1,1,3,0,0,"BB","FRA","Direct","Direct",0,0,0,"H","H",0,"No Deposit","250",NULL,0,"Transient","324",0,2,"Check-Out","2017-08-02"
"Resort Hotel",0,8,2017,"August",32,6,2,1,2,2,0,"BB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","324",0,1,"Check-Out","2017-08-09"
